gene,gene name,ensembl ID,entrez ID,chromosome,genetic category,gene score,ASD risk group,number of reports,hgnc_symbol
AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",ENSG00000135439,116986,12,Rare Single Gene Mutation,2,ASD core,6,AGAP2
AGAP5,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5",ENSG00000172650,729092,10,Rare Single Gene Mutation,3,ASD associated,2,AGAP5
AGBL4,ATP/GTP binding protein-like 4,ENSG00000186094,84871,1,Rare Single Gene Mutation,2,ASD core,3,AGBL4
AGMO,alkylglycerol monooxygenase,ENSG00000187546,392636,7,"Rare Single Gene Mutation, Genetic Association",2,ASD core,8,AGMO
AGO1,"argonaute 1, RISC catalytic component",ENSG00000092847,26523,1,Rare Single Gene Mutation,2,ASD core,14,AGO1
AGO2,argonaute RISC catalytic component 2,ENSG00000123908,27161,8,"Rare Single Gene Mutation, Syndromic",2,ASD core,2,AGO2
AGO3,argonaute RISC catalytic component 3,ENSG00000126070,192669,1,Rare Single Gene Mutation,2,ASD core,7,AGO3
AGO4,argonaute RISC catalytic component 4,ENSG00000134698,192670,1,Rare Single Gene Mutation,2,ASD core,4,AGO4
AGTR2,"angiotensin II receptor, type 2",ENSG00000180772,186,X,Rare Single Gene Mutation,2,ASD core,5,AGTR2
AHDC1,AT-hook DNA binding motif containing 1,ENSG00000126705,27245,1,"Rare Single Gene Mutation, Syndromic",1,ASD core,27,AHDC1
AHI1,Abelson helper integration site 1,ENSG00000135541,54806,6,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,ASD associated,21,AHI1
AHNAK,AHNAKnucleoprotein,ENSG00000124942,79026,11,Rare Single Gene Mutation,2,ASD core,6,AHNAK
AKAP9,A kinase (PRKA) anchor protein 9,ENSG00000127914,10142,7,Rare Single Gene Mutation,2,ASD core,8,AKAP9
ALDH1A3,aldehyde dehydrogenase 1 family member A3,ENSG00000184254,220,15,"Rare Single Gene Mutation, Syndromic",S,ASD associated,7,ALDH1A3
ALDH1L1,aldehyde dehydrogenase 1 family member L1,ENSG00000144908,10840,3,Rare Single Gene Mutation,3,ASD associated,7,ALDH1L1
ALDH5A1,"aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase )",ENSG00000112294,7915,6,"Rare Single Gene Mutation, Syndromic",1,ASD core,15,ALDH5A1
ALG6,"ALG6, alpha-1,3-glucosyltransferase",ENSG00000088035,29929,1,"Rare Single Gene Mutation, Syndromic",S,ASD associated,2,ALG6
AMPD1,Adenosine monophosphate deaminase 1,ENSG00000116748,270,1,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,AMPD1
AMT,Aminomethyltransferase,ENSG00000145020,275,3,Rare Single Gene Mutation,2,ASD core,2,AMT
ANK2,"Ankyrin 2, neuronal",ENSG00000145362,287,4,"Rare Single Gene Mutation, Functional",1,ASD core,32,ANK2
ANK3,ankyrin 3,ENSG00000151150,288,10,"Rare Single Gene Mutation, Genetic Association, Functional",1,ASD core,32,ANK3
ANKRD11,ankyrin repeat domain 11,ENSG00000167522,29123,16,"Rare Single Gene Mutation, Syndromic",1,ASD core,69,ANKRD11
ANKRD17,ankyrin repeat domain 17,ENSG00000132466,26057,4,"Rare Single Gene Mutation, Syndromic",2,ASD core,6,ANKRD17
ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B,ENSG00000185046,56899,12,"Rare Single Gene Mutation, Syndromic",2,ASD core,5,ANKS1B
ANP32A,acidic nuclear phosphoprotein 32 family member A,ENSG00000140350,8125,15,"Rare Single Gene Mutation, Functional",1,ASD core,4,ANP32A
ANXA1,Annexin A1,ENSG00000135046,301,9,Rare Single Gene Mutation,2,ASD core,2,ANXA1
AP1S2,adaptor related protein complex 1 sigma 2 subunit,ENSG00000182287,8905,X,"Rare Single Gene Mutation, Syndromic",S,ASD associated,7,AP1S2
AP2M1,adaptor related protein complex 2 subunit mu 1,ENSG00000161203,1173,3,Rare Single Gene Mutation,2,ASD core,9,AP2M1
AP2S1,adaptor related protein complex 2 subunit sigma 1,ENSG00000042753,1175,19,Rare Single Gene Mutation,1,ASD core,3,AP2S1
APBA2,"amyloid beta (A4) precursor protein-binding, family A, member 2",ENSG00000034053,321,15,Rare Single Gene Mutation,2,ASD core,8,APBA2
APBB1,amyloid beta precursor protein binding family B member 1,ENSG00000166313,322,11,"Rare Single Gene Mutation, Functional",2,ASD core,4,APBB1
APH1A,APH1A gamma secretase subunit,ENSG00000117362,51107,1,Rare Single Gene Mutation,2,ASD core,3,APH1A
ARF3,ADP ribosylation factor 3,ENSG00000134287,377,12,"Rare Single Gene Mutation, Syndromic",1,ASD core,5,ARF3
ARHGAP11B,Rho GTPase activating protein 11B,ENSG00000285077,89839,15,Rare Single Gene Mutation,2,ASD core,3,ARHGAP11B
ARHGAP32,Rho GTPase activating protein 32,ENSG00000134909,9743,11,"Rare Single Gene Mutation, Functional",2,ASD core,10,ARHGAP32
ARHGAP5,Rho GTPase activating protein 5,ENSG00000100852,394,14,Rare Single Gene Mutation,2,ASD core,6,ARHGAP5
ARHGEF10,Rho guanine nucleotide exchange factor 10,ENSG00000104728,9639,8,"Rare Single Gene Mutation, Functional",2,ASD core,6,ARHGEF10
ARHGEF2,Rho/Rac guanine nucleotide exchange factor 2,ENSG00000116584,9181,1,"Rare Single Gene Mutation, Syndromic",3,ASD associated,7,ARHGEF2
ARHGEF9,Cdc42 guanine nucleotide exchange factor (GEF) 9,ENSG00000131089,23229,X,"Rare Single Gene Mutation, Syndromic",1,ASD core,17,ARHGEF9
ARID1B,AT-rich interaction domain 1B,ENSG00000049618,57492,6,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,79,ARID1B
ARID2,AT-rich interaction domain 2,ENSG00000189079,196528,12,"Rare Single Gene Mutation, Syndromic",2,ASD core,15,ARID2
ARNT2,aryl-hydrocarbon receptor nuclear translocator 2,ENSG00000172379,9915,15,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,ASD core,15,ARNT2
ARX,aristaless related homeobox,ENSG00000004848,170302,X,"Rare Single Gene Mutation, Syndromic",1,ASD core,26,ARX
ADORA2A,adenosine A2a receptor,ENSG00000128271,135,22,Genetic Association,2,ASD core,7,ADORA2A
ADRB2,"adrenergic, beta-2-, receptor, surface",ENSG00000169252,154,5,Genetic Association,2,ASD core,10,ADRB2
ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",ENSG00000151693,8853,2,Rare Single Gene Mutation,2,ASD core,5,ASAP2
ASB14,ankyrin repeat and SOCS box containing 14,ENSG00000239388,142686,3,Rare Single Gene Mutation,2,ASD core,5,ASB14
ASH1L,"Ash1 (absent, small, or homeotic)-like (Drosophila)",ENSG00000116539,55870,1,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,33,ASH1L
ASMT,acetylserotonin O-methyltransferase,ENSG00000196433,438,"X,Y","Rare Single Gene Mutation, Genetic Association",2,ASD core,11,ASMT
ASPM,abnormal spindle microtubule assembly,ENSG00000066279,259266,1,"Rare Single Gene Mutation, Syndromic, Functional",2,ASD core,12,ASPM
ASTN2,astrotactin 2,ENSG00000148219,23245,9,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,20,ASTN2
ASXL3,Additional sex combs like 3 (Drosophila),ENSG00000141431,80816,18,"Rare Single Gene Mutation, Syndromic",1,ASD core,47,ASXL3
ATP10A,Probable phospholipid-transporting ATPase VA,ENSG00000206190,57194,15,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,10,ATP10A
ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,ENSG00000163399,476,1,"Rare Single Gene Mutation, Syndromic",2,ASD core,8,ATP1A1
ATP1A3,ATPase Na+/K+ transporting subunit alpha 3,ENSG00000105409,478,19,"Rare Single Gene Mutation, Syndromic, Functional",2,ASD core,24,ATP1A3
ATP2B1,ATPase plasma membrane Ca2+ transporting 1,ENSG00000070961,490,12,"Rare Single Gene Mutation, Syndromic",3,ASD associated,2,ATP2B1
ATP2B2,"ATPase, Ca++ transporting, plasma membrane 2",ENSG00000157087,491,3,"Rare Single Gene Mutation, Genetic Association",2,ASD core,14,ATP2B2
ATP6V0A2,ATPase H+ transporting V0 subunit a2,ENSG00000185344,23545,12,Rare Single Gene Mutation,2,ASD core,5,ATP6V0A2
ATRX,alpha thalassemia/mental retardation syndrome X-linked,ENSG00000085224,546,X,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,32,ATRX
AUTS2,activator of transcription and developmental regulatorAUTS2,ENSG00000158321,26053,7,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,61,AUTS2
AVPR1A,arginine vasopressin receptor 1A,ENSG00000166148,552,12,"Rare Single Gene Mutation, Genetic Association",2,ASD core,24,AVPR1A
AZGP1,"alpha-2-glycoprotein 1, zinc-binding",ENSG00000160862,563,7,Rare Single Gene Mutation,2,ASD core,4,AZGP1
BACE1,beta-secretase 1,ENSG00000186318,23621,11,"Rare Single Gene Mutation, Functional",3,ASD associated,4,BACE1
BAIAP2L1,BAR/IMD domain containing adaptor protein 2 like 1,ENSG00000006453,55971,7,Rare Single Gene Mutation,3,ASD associated,6,BAIAP2L1
BAZ2B,bromodomain adjacent to zinc finger domain 2B,ENSG00000123636,29994,2,Rare Single Gene Mutation,1,ASD core,7,BAZ2B
BBS4,Bardet-Biedl syndrome 4,ENSG00000140463,585,15,"Rare Single Gene Mutation, Syndromic",2,ASD core,6,BBS4
BCAS1,breast carcinoma amplified sequence 1,ENSG00000064787,8537,20,Rare Single Gene Mutation,2,ASD core,5,BCAS1
BCKDK,Branched chain ketoacid dehydrogenase kinase,ENSG00000103507,10295,16,Rare Single Gene Mutation,1,ASD core,8,BCKDK
BCL11A,B-cell CLL/lymphoma 11A (zinc finger protein),ENSG00000119866,53335,2,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,26,BCL11A
BCORL1,BCL6 corepressor like 1,ENSG00000085185,63035,X,"Rare Single Gene Mutation, Syndromic",S,ASD associated,8,BCORL1
BICRA,BRD4 interacting chromatin remodeling complex associated protein,ENSG00000063169,29998,19,"Rare Single Gene Mutation, Syndromic",2,ASD core,2,BICRA
BIRC6,Baculoviral IAP repeat containing 6,ENSG00000115760,57448,2,Rare Single Gene Mutation,2,ASD core,13,BIRC6
BRAF,v-raf murine sarcoma viral oncogene homolog B,ENSG00000157764,673,7,"Rare Single Gene Mutation, Syndromic",1,ASD core,17,BRAF
BRCA2,"breast cancer 2, early onset",ENSG00000139618,675,13,Rare Single Gene Mutation,2,ASD core,7,BRCA2
BRD4,bromodomain containing 4,ENSG00000141867,23476,19,"Rare Single Gene Mutation, Syndromic, Functional",2,ASD core,11,BRD4
BRINP3,BMP/retinoic acid inducible neural specific 3,ENSG00000162670,339479,1,"Rare Single Gene Mutation, Functional",3,ASD associated,3,BRINP3
BRSK2,BR serine/threonine kinase 2,ENSG00000174672,9024,11,"Rare Single Gene Mutation, Syndromic",1,ASD core,11,BRSK2
BRWD3,bromodomain and WD repeat domain containing 3,ENSG00000165288,254065,X,"Rare Single Gene Mutation, Syndromic",S,ASD associated,9,BRWD3
BST1,bone marrow stromal cell antigen 1,ENSG00000109743,683,4,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,6,BST1
BTAF1,"RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)",ENSG00000095564,9044,10,Rare Single Gene Mutation,2,ASD core,9,BTAF1
BTRC,beta-transducin repeat containing E3 ubiquitin protein ligase,ENSG00000166167,8945,10,Rare Single Gene Mutation,2,ASD core,4,BTRC
C12orf57,Chromosome 12 open reading frame 57,ENSG00000111678,113246,12,"Rare Single Gene Mutation, Syndromic",S,ASD associated,14,C12orf57
C15orf62,chromosome 15 open reading frame 62,ENSG00000188277,643338,15,Rare Single Gene Mutation,2,ASD core,3,C15orf62
AVPR1B,arginine vasopressin receptor 1B,ENSG00000198049,553,1,"Genetic Association, Functional",2,ASD core,8,AVPR1B
C4B,complement component 4B,ENSG00000224389,721,6,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,6,C4B
CA6,carbonic anhydrase VI,ENSG00000131686,765,1,Rare Single Gene Mutation,2,ASD core,7,CA6
CACNA1A,"Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",ENSG00000141837,773,19,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,36,CACNA1A
CACNA1B,calcium voltage-gated channel subunit alpha1 B,ENSG00000148408,774,9,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,13,CACNA1B
CACNA1C,"calcium channel, voltage-dependent, L type, alpha 1C subunit",ENSG00000151067,775,12,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,62,CACNA1C
BICDL1,BICD family like cargo adaptor 1,ENSG00000135127,92558,12,Genetic Association,2,ASD core,2,BICDL1
CACNA1D,"calcium channel, voltage-dependent, L type, alpha 1D",ENSG00000157388,776,3,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,ASD core,28,CACNA1D
CACNA1E,calcium voltage-gated channel subunit alpha1 E,ENSG00000198216,777,1,Rare Single Gene Mutation,1,ASD core,22,CACNA1E
CACNA1F,"calcium channel, voltage-dependent, alpha 1F",ENSG00000102001,778,X,"Rare Single Gene Mutation, Genetic Association",2,ASD core,9,CACNA1F
CACNA1G,"calcium channel, voltage-dependent, T type, alpha 1G subunit",ENSG00000006283,8913,17,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,25,CACNA1G
CACNA1H,"calcium channel, voltage-dependent, alpha 1H subunit",ENSG00000196557,8912,16,Rare Single Gene Mutation,2,ASD core,33,CACNA1H
CACNA1I,"Calcium channel, voltage-dependent, T type, alpha 1I subunit",ENSG00000100346,8911,22,"Rare Single Gene Mutation, Genetic Association",2,ASD core,10,CACNA1I
CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1,ENSG00000153956,781,7,"Rare Single Gene Mutation, Syndromic",2,ASD core,8,CACNA2D1
CACNA2D3,"Calcium channel, voltage-dependent, alpha 2/delta subunit 3",ENSG00000157445,55799,3,"Rare Single Gene Mutation, Functional",1,ASD core,13,CACNA2D3
CACNB1,calcium voltage-gated channel auxiliary subunit beta 1,ENSG00000067191,782,17,Rare Single Gene Mutation,3,ASD associated,3,CACNB1
CACNB2,"Calcium channel, voltage-dependent, beta 2 subunit",ENSG00000165995,783,10,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,12,CACNB2
CACNG2,calcium voltage-gated channel auxiliary subunit gamma 2,ENSG00000166862,10369,22,Rare Single Gene Mutation,2,ASD core,6,CACNG2
CADM1,cell adhesion molecule 1,ENSG00000182985,23705,11,Rare Single Gene Mutation,2,ASD core,10,CADM1
CADM2,Cell adhesion molecule 2,ENSG00000175161,253559,3,"Rare Single Gene Mutation, Genetic Association",2,ASD core,6,CADM2
CADPS,calcium dependent secretion activator,ENSG00000163618,8618,3,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,CADPS
CADPS2,Ca2+-dependent activator protein for secretion 2,ENSG00000081803,93664,7,"Rare Single Gene Mutation, Functional",2,ASD core,13,CADPS2
CAMK2A,calcium/calmodulin dependent protein kinase II alpha,ENSG00000070808,815,5,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,ASD core,12,CAMK2A
CAMK2B,calcium/calmodulin dependent protein kinase II beta,ENSG00000058404,816,7,"Rare Single Gene Mutation, Syndromic",S,ASD associated,10,CAMK2B
CAMK4,calcium/calmodulin dependent protein kinase IV,ENSG00000152495,814,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,6,CAMK4
CAMTA2,calmodulin binding transcription activator 2,ENSG00000108509,23125,17,"Rare Single Gene Mutation, Syndromic",1,ASD core,3,CAMTA2
CAPN12,Calpain 12,ENSG00000182472,147968,19,Rare Single Gene Mutation,2,ASD core,7,CAPN12
CAPRIN1,Cell cycle associated protein 1,ENSG00000135387,4076,11,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,6,CAPRIN1
CARD11,caspase recruitment domain family member 11,ENSG00000198286,84433,7,Rare Single Gene Mutation,2,ASD core,2,CARD11
CASK,calcium/calmodulin dependent serine protein kinase,ENSG00000147044,8573,X,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,25,CASK
CASKIN1,CASK interacting protein 1,ENSG00000167971,57524,16,"Rare Single Gene Mutation, Functional",2,ASD core,8,CASKIN1
CASZ1,castor zinc finger 1,ENSG00000130940,54897,1,Rare Single Gene Mutation,1,ASD core,7,CASZ1
CAT,catalase,ENSG00000121691,847,11,"Rare Single Gene Mutation, Functional",3,ASD associated,4,CAT
CBX1,chromobox 1,ENSG00000108468,10951,17,"Rare Single Gene Mutation, Syndromic",3,ASD associated,3,CBX1
CC2D1A,Coiled-coil and C2 domain containing 1A,ENSG00000132024,54862,19,"Rare Single Gene Mutation, Functional",2,ASD core,17,CC2D1A
CCDC88C,Coiled-coil domain containing 88C,ENSG00000015133,440193,14,Rare Single Gene Mutation,2,ASD core,9,CCDC88C
CCDC91,coiled-coil domain containing 91,ENSG00000123106,55297,12,Rare Single Gene Mutation,2,ASD core,6,CCDC91
CCIN,calicin,ENSG00000185972,881,9,Rare Single Gene Mutation,2,ASD core,2,CCIN
CCNG1,cyclin G1,ENSG00000113328,900,5,Rare Single Gene Mutation,2,ASD core,2,CCNG1
CCNK,cyclin K,ENSG00000090061,8812,14,"Rare Single Gene Mutation, Syndromic",S,ASD associated,5,CCNK
CCSER1,coiled-coil serine rich protein 1,ENSG00000184305,401145,4,Rare Single Gene Mutation,2,ASD core,4,CCSER1
CCT4,"Chaperonin containing TCP1, subunit 4 (delta)",ENSG00000115484,10575,2,Rare Single Gene Mutation,2,ASD core,3,CCT4
CD276,CD276molecule,ENSG00000103855,80381,15,Rare Single Gene Mutation,2,ASD core,4,CD276
CD38,CD38 molecule,ENSG00000004468,952,4,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,10,CD38
CD99L2,CD99 molecule like 2,ENSG00000102181,83692,X,Genetic Association,2,ASD core,1,CD99L2
CDC42BPB,CDC42 binding protein kinase beta (DMPK-like),ENSG00000198752,9578,14,"Rare Single Gene Mutation, Syndromic",2,ASD core,11,CDC42BPB
CDH10,"cadherin 10, type 2 (T2-cadherin)",ENSG00000040731,1008,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,11,CDH10
CDH11,cadherin 11,ENSG00000140937,1009,16,"Rare Single Gene Mutation, Syndromic, Functional",2,ASD core,8,CDH11
CDH13,cadherin 13,ENSG00000140945,1012,16,Rare Single Gene Mutation,2,ASD core,6,CDH13
CDH2,cadherin 2,ENSG00000170558,1000,18,"Rare Single Gene Mutation, Syndromic",3,ASD associated,8,CDH2
CDH8,"cadherin 8, type 2",ENSG00000150394,1006,16,Rare Single Gene Mutation,2,ASD core,12,CDH8
CDH9,"cadherin 9, type 2 (T1-cadherin)",ENSG00000113100,1007,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,7,CDH9
CDK13,cyclin dependent kinase 13,ENSG00000065883,8621,7,"Rare Single Gene Mutation, Syndromic",S,ASD associated,20,CDK13
CDK16,cyclin dependent kinase 16,ENSG00000102225,5127,X,Rare Single Gene Mutation,2,ASD core,3,CDK16
CDK19,cyclin dependent kinase 19,ENSG00000155111,23097,6,"Rare Single Gene Mutation, Syndromic",3,ASD associated,7,CDK19
CDK5RAP2,CDK5 regulatory subunit associated protein 2,ENSG00000136861,55755,9,"Rare Single Gene Mutation, Syndromic",3,ASD associated,14,CDK5RAP2
CDK8,cyclin dependent kinase 8,ENSG00000132964,1024,13,"Rare Single Gene Mutation, Syndromic",S,ASD associated,5,CDK8
CDKL5,cyclin-dependent kinase-like 5,ENSG00000008086,6792,X,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,55,CDKL5
CDON,"cell adhesion associated, oncogene regulated",ENSG00000064309,50937,11,Rare Single Gene Mutation,3,ASD associated,4,CDON
CECR2,"CECR2, histone acetyl-lysine reader",ENSG00000099954,27443,22,Rare Single Gene Mutation,2,ASD core,3,CECR2
CELF2,CUGBP Elav-like family member 2,ENSG00000048740,10659,10,"Rare Single Gene Mutation, Syndromic",2,ASD core,4,CELF2
CELF4,"CUGBP, Elav-like family member 4",ENSG00000101489,56853,18,"Rare Single Gene Mutation, Functional",1,ASD core,14,CELF4
CELF6,"CUGBP, Elav-like family member 6",ENSG00000140488,60677,15,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,CELF6
CEP135,centrosomal protein 135,ENSG00000174799,9662,4,"Rare Single Gene Mutation, Syndromic",2,ASD core,7,CEP135
CEP290,Centrosomal protein 290kDa,ENSG00000198707,80184,12,"Rare Single Gene Mutation, Syndromic",2,ASD core,12,CEP290
CEP41,"testis specific, 14",ENSG00000106477,95681,7,"Rare Single Gene Mutation, Syndromic",2,ASD core,6,CEP41
CERT1,ceramide transporter 1,ENSG00000113163,10087,5,"Rare Single Gene Mutation, Syndromic",3,ASD associated,7,CERT1
CGNL1,Cingulin-like 1,ENSG00000128849,84952,15,Rare Single Gene Mutation,2,ASD core,7,CGNL1
CHAMP1,chromosome alignment maintaining phosphoprotein 1,ENSG00000198824,283489,13,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,16,CHAMP1
CHD1,chromodomain helicase DNA binding protein 1,ENSG00000153922,1105,5,"Rare Single Gene Mutation, Syndromic",2,ASD core,10,CHD1
CHD2,Chromodomain helicase DNA binding protein 2,ENSG00000173575,1106,15,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,73,CHD2
CHD3,chromodomain helicase DNA binding protein 3,ENSG00000170004,1107,17,"Rare Single Gene Mutation, Syndromic",1,ASD core,15,CHD3
CHD7,chromodomain helicase DNA binding protein 7,ENSG00000171316,55636,8,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,44,CHD7
CHD8,chromodomain helicase DNA binding protein 8,ENSG00000100888,57680,14,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,96,CHD8
CHD9,chromodomain helicase DNA binding protein 9,ENSG00000177200,80205,16,Rare Single Gene Mutation,3,ASD associated,7,CHD9
CHKB,Choline kinase beta,ENSG00000100288,1120,22,"Rare Single Gene Mutation, Syndromic",S,ASD associated,9,CHKB
CHM,CHMRab escort protein,ENSG00000188419,1121,X,Rare Single Gene Mutation,3,ASD associated,7,CHM
CHMP1A,charged multivesicular body protein 1A,ENSG00000131165,5119,16,"Rare Single Gene Mutation, Syndromic",2,ASD core,5,CHMP1A
CHRM3,cholinergic receptor muscarinic 3,ENSG00000133019,1131,1,"Rare Single Gene Mutation, Genetic Association",2,ASD core,7,CHRM3
CHRNA7,"cholinergic receptor, nicotinic, alpha 7",ENSG00000175344,1139,15,Rare Single Gene Mutation,2,ASD core,16,CHRNA7
CHRNB3,cholinergic receptor nicotinic beta 3 subunit,ENSG00000147432,1142,8,Rare Single Gene Mutation,2,ASD core,3,CHRNB3
CHST2,carbohydrate sulfotransferase 2,ENSG00000175040,9435,3,Rare Single Gene Mutation,3,ASD associated,3,CHST2
CIB2,Calcium and integrin binding family member 2,ENSG00000136425,10518,15,Rare Single Gene Mutation,2,ASD core,2,CIB2
CIC,capicua transcriptional repressor,ENSG00000079432,23152,19,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,12,CIC
CLASP1,cytoplasmic linker associated protein 1,ENSG00000074054,23332,2,Rare Single Gene Mutation,2,ASD core,4,CLASP1
CLCN4,chloride voltage-gated channel 4,ENSG00000073464,1183,X,"Rare Single Gene Mutation, Syndromic",2,ASD core,11,CLCN4
CLN8,"Ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)",ENSG00000182372,2055,8,"Rare Single Gene Mutation, Syndromic",2,ASD core,5,CLN8
CLTCL1,"clathrin, heavy chain-like 1",ENSG00000070371,8218,22,Rare Single Gene Mutation,2,ASD core,8,CLTCL1
CMIP,c-Maf inducing protein,ENSG00000153815,80790,16,"Rare Single Gene Mutation, Genetic Association",2,ASD core,6,CMIP
CMPK2,cytidine/uridine monophosphate kinase 2,ENSG00000134326,129607,2,Rare Single Gene Mutation,2,ASD core,4,CMPK2
CNGB3,cyclic nucleotide gated channel beta 3,ENSG00000170289,54714,8,Rare Single Gene Mutation,2,ASD core,6,CNGB3
CNKSR2,connector enhancer of kinase suppressor of Ras 2,ENSG00000149970,22866,X,"Rare Single Gene Mutation, Syndromic, Functional",2,ASD core,12,CNKSR2
CNOT1,CCR4-NOT transcription complex subunit 1,ENSG00000125107,23019,16,"Rare Single Gene Mutation, Syndromic",2,ASD core,8,CNOT1
